Solvent,Label,Value
nitromethane,76K2,"A.G. Kozachenko, E.I. Matrosov and M.I. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 2440 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 2275 (1976). "
DMA,76E,"E.A. Emelin and L.M. Gershtein, Zh. Fiz. Khim., 50, 2461 (1976); Russ. J. Phys. Chem., 50, 1477 (1976)."
HMPA,76E,"E.A. Emelin and L.M. Gershtein, Zh. Fiz. Khim., 50, 2461 (1976); Russ. J. Phys. Chem., 50, 1477 (1976)."
NMP,76E,"E.A. Emelin and L.M. Gershtein, Zh. Fiz. Khim., 50, 2461 (1976); Russ. J. Phys. Chem., 50, 1477 (1976)."
nitromethane,76M,"E.I. Matrosov, A.G. Kozachenko and M.I. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 313 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 295 (1976). "
nitromethane,76M1,"E.I. Matrosov, A.G. Kozachenko and M.l. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 1470 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1406 (1976). "
DMA,77F,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). "
MiBK,77F,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). "
nitromethane,77F,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). "
nitromethane,79K,"B.A. Korolev and E.I. Kashkovskaya, Zh. Obshch. Khim., 49, 909 (1979); J. Gen. Chem. USSR, 49, 788 (1979). "
nitromethane,79K1,"B.A. Korolev and E.I. Kashkovskaya, Zh. Obshch. Khim., 49, 2360 (1979); J. Gen. Chem. USSR, 49, 2081 (1979)."
nitromethane,79L,"B.N. Laskorin, V.V. Yakshin, E.A. Filippov and N.A. Lyubosvetova, Dokl. Akad. Nauk SSSR, 249, 651 (1979)."
NMP,80B,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). "
MiBK,81D,"V. Dostal, Z. Stransky and P. Jiricek, Chem. Zvesti, 35, 591(1981). "
MiBK,82D,"V. Dostal, Z. Stransky and J. Slouka, Collection Czechoslov. Chem. Commun., 47, 1203 (1982). "
nitromethane,82S,"H. Smagowski and G. Wawrzyniak, Polish J. Chem., 56, 201 (1982)."
DMA,83B,"L.N. Bykova and A.V, Novikov, Zh, Anal. Khim., 38, 1191 (1983); J. Anal. Chem. USSR, 38, 903 (1983)."
sulfolane,86L,"M. Ludwig, O. Pytela and M. Vecera, Collection Czechoslov. Chem. Commun., 51, 1948 (1986)."
