Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
m-Hydroxybenzoic acid,O=C(O)c1cccc(O)c1,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)",NMP,acidic,pK1,pKa1,13.85,10.55,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
m-Iodobenzoic acid,O=C(O)c1cccc(I)c1,"InChI=1S/C7H5IO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)",NMP,acidic,pK1,pKa1,11.3,11.3,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
m-Nitrobenzoic acid,O=C(O)c1cccc([N+](=O)[O-])c1,"InChI=1S/C7H5NO4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)",NMP,acidic,pK1,pKa1,10.7,10.7,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H",NMP,acidic,pK1,pKa1,14.3,14.3,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
m-Toluic acid,Cc1cccc(C(=O)O)c1,"InChI=1S/C8H8O2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3,(H,9,10)",NMP,acidic,pK1,pKa1,12.3,12.3,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
o-Anisic acid,COc1ccccc1C(=O)O,"InChI=1S/C8H8O3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3,(H,9,10)",NMP,acidic,pK1,pKa1,12.6,12.6,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
o-Benzoylbenzoic acid,O=C(O)c1ccccc1C(=O)c1ccccc1,"InChI=1S/C14H10O3/c15-13(10-6-2-1-3-7-10)11-8-4-5-9-12(11)14(16)17/h1-9H,(H,16,17)",NMP,acidic,pK1,pKa1,11.9,11.9,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
o-Bromophenol,Oc1ccccc1Br,"InChI=1S/C6H5BrO/c7-5-3-1-2-4-6(5)8/h1-4,8H",NMP,acidic,pK1,pKa1,15,15,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
o-Chlorobenzoic acid,O=C(O)c1ccccc1Cl,"InChI=1S/C7H5ClO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",NMP,acidic,pK1,pKa1,12.9,9.6,,,,Voltammetric,V(H),0.1M,<250mM,,,pKa was obtained from the voltammetric half-wave potential of the acid at a platinized Pt hydrogen electrode.,*4,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
o-Chlorobenzoic acid,O=C(O)c1ccccc1Cl,"InChI=1S/C7H5ClO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",NMP,acidic,pK1,pKa1,11.4,11.4,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
o-Chlorobenzoic acid,O=C(O)c1ccccc1Cl,"InChI=1S/C7H5ClO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",NMP,acidic,pK1,pKa1,9.6,9.6,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,,,,Values reported in other literatures.,*9,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,,
o-Chlorophenol,Oc1ccccc1Cl,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",NMP,acidic,pK1,pKa1,14.9,14.9,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
o-Iodobenzoic acid,O=C(O)c1ccccc1I,"InChI=1S/C7H5IO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",NMP,acidic,pK1,pKa1,11.3,11.3,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
o-Nitrobenzoic acid,O=C(O)c1ccccc1[N+](=O)[O-],"InChI=1S/C7H5NO4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)",NMP,acidic,pK1,pKa1,10.2,10.2,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
o-Nitrobenzoic acid,O=C(O)c1ccccc1[N+](=O)[O-],"InChI=1S/C7H5NO4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)",NMP,acidic,pK1,pKa1,7.8,7.8,,,,Potentiometric,P,,,,,Values reported in other literatures.,*9,,"J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ",73M,,
o-Nitrophenol,O=[N+]([O-])c1ccccc1O,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",NMP,acidic,pK1,pKa1,12.6,12.6,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
