Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
"1,1,3,3-Tetramethylguanidine",CN(C)C(=N)N(C)C,"InChI=1S/C5H13N3/c1-7(2)5(6)8(3)4/h6H,1-4H3",DMA,basic,pK1,pKaH1,12.55,12.55,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
"1,1,3,3-Tetramethylguanidine",CN(C)C(=N)N(C)C,"InChI=1S/C5H13N3/c1-7(2)5(6)8(3)4/h6H,1-4H3",DMA,basic,pK1,pKaH1,12.5,12.5,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
1-(p-Dimethylaminophenylazo)-pyridine,CN(C)c1ccc(N=NN2C=CC=CC2)cc1,"InChI=1S/C13H16N4/c1-16(2)13-8-6-12(7-9-13)14-15-17-10-4-3-5-11-17/h3-10H,11H2,1-2H3",DMA,indicator,pK1,pK1,1.65,1.65,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Acetic acid,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DMA,acidic,pK1,pKa1,12.6,12.6,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Adipic acid,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",DMA,acidic,pK1,pKa1,11.2,11.2,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Adipic acid,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",DMA,acidic,pK2,pKa2,12.4,12.4,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Anthracene,c1ccc2cc3ccccc3cc2c1,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,DMA,acidic,pK1,pKa1,27,27,,,,Voltammetric,V,0.1M,~0,,,"Trace water in DMA was removed by adding sodium bis(methoxy-2-ethoxy)aluminohydride NaAIH2(O-CH2-CH2- OCH3)2. The dehydrated DMA gave a pH range of ca. 45 units, as obtained by voltammetry at a hydrogen electrode. pKa of the acid was obtained by using the standard potential of the hydrogen electrode. ",*6,,"M. Breant and J. Georges, C.R. Acad. Sci., Paris, C280, 457 (1975). ",75B,,
Benzoic acid,O=C(O)c1ccccc1,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",DMA,acidic,pK1,pKa1,11,11,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Chloroacetic acid,O=C(O)CCl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",DMA,acidic,pK1,pKa1,8.75,8.75,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Chrome Azurol S,CC1=C/C(=C(/c2cc(C)c([O-])c(C(=O)[O-])c2)c2c(Cl)ccc(S(=O)(=O)[O-])c2Cl)C=C(C(=O)O)C1=O.[Na+].[Na+].[Na+],"InChI=1S/C23H16Cl2O9S.3Na/c1-9-5-11(7-13(20(9)26)22(28)29)17(12-6-10(2)21(27)14(8-12)23(30)31)18-15(24)3-4-16(19(18)25)35(32,33)34;;;/h3-8,26H,1-2H3,(H,28,29)(H,30,31)(H,32,33,34);;;/q;3*+1/p-3",DMA,indicator,pK1,pK1,3.2,3.2,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Dichloroacetic acid,O=C(O)C(Cl)Cl,"InChI=1S/C2H2Cl2O2/c3-1(4)2(5)6/h1H,(H,5,6)",DMA,acidic,pK1,pKa1,6.1,6.1,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Diethylamine,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",DMA,basic,pK1,pKaH1,8.9,8.9,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Diethylamine,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",DMA,basic,pK1,pKaH1,9.3,9.3,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Fluorosulfuric acid,O=S(=O)(O)F,"InChI=1S/FHO3S/c1-5(2,3)4/h(H,2,3,4)",DMA,acidic,pK1,pKa1,1.08,1.08,0.07,25,,Conductometric,C,->0,~10mM,,,pKa was obtained by using the Shedlovsky method. ,*2,,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). ",77F,,
Fumaric acid,O=C(O)/C=C/C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",DMA,acidic,pK1,pKa1,9.25,9.25,,,,"Spectrophometric, Potentiometric (hydrogen electrode)","S,P(H)",(~1E-2M),,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated.  pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ","*3,4",,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976).  M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ","76B,76B1",Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Fumaric acid,O=C(O)/C=C/C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",DMA,acidic,pK2,pKa2,11.6,11.6,,,,"Spectrophometric, Potentiometric (hydrogen electrode)","S,P(H)",(~1E-2M),,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated.  pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ","*3,4",,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976).  M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ","76B,76B1",Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Fumaric acid,O=C(O)/C=C/C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",DMA,acidic,pK1,pKa1,9.2,9.2,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Fumaric acid,O=C(O)/C=C/C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",DMA,acidic,pK2,pKa2,11.6,11.6,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Glutaric acid,O=C(O)CCCC(=O)O,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)",DMA,acidic,pK1,pKa1,10.2,10.2,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Glutaric acid,O=C(O)CCCC(=O)O,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)",DMA,acidic,pK2,pKa2,13,13,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Glycolic acid,O=C(O)CO,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",DMA,acidic,pK1,pKa1,9.85,9.85,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Hydrogen chloride,Cl,InChI=1S/ClH/h1H,DMA,acidic,pK1,pKa1,1.95,1.95,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Hydrogen chloride,Cl,InChI=1S/ClH/h1H,DMA,acidic,pK1,pKa1,3.71,3.71,,20,0.1,Conductometric,C,DHE,15mM:a,,,pKa was obtained by using the Fuoss and Kraus equation. ,*1,,"E.A. Emelin and L.M. Gershtein, Zh. Fiz. Khim., 50, 2461 (1976); Russ. J. Phys. Chem., 50, 1477 (1976).",76E,,
Maleic acid,O=C(O)/C=C\C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",DMA,acidic,pK1,pKa1,4.1,4.1,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976).  M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ","76B,76B1",Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Maleic acid,O=C(O)/C=C\C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",DMA,acidic,pK2,pKa2,~17,~17,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Maleic acid,O=C(O)/C=C\C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",DMA,acidic,pK1,pKa1,4,4,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Malonic acid,O=C(O)CC(=O)O,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",DMA,acidic,pK1,pKa1,6.5,6.5,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Malonic acid,O=C(O)CC(=O)O,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",DMA,acidic,pK2,pKa2,16.1,16.1,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Methanesulfonic acid,CS(=O)(=O)O,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)",DMA,acidic,pK1,pKa1,1.6,1.6,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Methanesulfonic acid,CS(=O)(=O)O,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)",DMA,acidic,pK1,pKa1,1.3,1.3,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Methanesulfonic acid,CS(=O)(=O)O,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)",DMA,acidic,pK1,pKa1,2.63,2.63,,25,,Conductometric,C,->0,~10mM,,,pKa was obtained by using the Shedlovsky method. ,*2,,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). ",77F,,
"N,N-Dimethylacetamide",CC(=O)N(C)C,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,DMA,autoprotolysis const.,pKs,pKs,23.95,23.95,,25,0.1,Potentiometric (glass electrode),P(G),->0,,,,"Emfs of two cells, glass electrode/HCl(DMA)/AgCl,Ag and glass electrode/Bu4NDH(DMA)/AgCl,Ag, were measured by varying the concentrations of HCl and Bu4NOH. The results were used to determine the standard emf and pKs.",*7,,"L.N. Bykova and A.V, Novikov, Zh, Anal. Khim., 38, 1191 (1983); J. Anal. Chem. USSR, 38, 903 (1983).",83B,,
"N,N-Dimethylacetamide",CC(=O)N(C)C,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,DMA,autoprotolysis const.,pKs,pKs,31.2,31.2,0.5,25,,Potentiometric (glass electrode),P(G),0.01M,,,,"pKs' values in the presence of water were obtained by pKs' = (Es/59) - log c(HClO4)c(Me4NOH), where Es (in mV)is the difference between the half-neutralization potentials of HClO4 and Me4NOH at concentrations c(HClO4) and c(Me4NOH) at the instant of half-neutralization. pKs was obtained as pKs' extrapolated to zero water content. By a different method of extrapolation to zero water content,  pKs ~ 40 was obtained. See also *6. ",*7a,,"L.N. Bykova and A.V, Novikov, Zh, Anal. Khim., 38, 1191 (1983); J. Anal. Chem. USSR, 38, 903 (1983).",83B,,
Neutral Red,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N.Cl,"InChI=1S/C15H16N4.ClH/c1-9-6-13-15(8-11(9)16)18-14-7-10(19(2)3)4-5-12(14)17-13;/h4-8H,16H2,1-3H3;1H",DMA,indicator,pK1,pK1,5,5,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,,
Nile Blue,CC[N+](CC)=c1ccc2nc3c(cc(N)c4ccccc43)oc-2c1.[Cl-],"InChI=1S/C20H19N3O.ClH/c1-3-23(4-2)13-9-10-17-18(11-13)24-19-12-16(21)14-7-5-6-8-15(14)20(19)22-17;/h5-12,21H,3-4H2,1-2H3;1H",DMA,indicator,pK1,pK1,7.7,7.7,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Perchloric acid,[O-][Cl+3]([O-])([O-])O,"InChI=1S/ClHO4/c2-1(3,4)5/h(H,2,3,4,5)",DMA,acidic,pK1,pKa1,(0.78),(0.78),(0.12),25,,Conductometric,C,->0,~10mM,,,pKa was obtained by using the Shedlovsky method. ,*2,,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). ",77F,,
Phenanthrene,c1ccc2c(c1)ccc1ccccc12,InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H,DMA,acidic,pK1,pKa1,36,36,,,,Voltammetric,V,0.1M,~0,,,"Trace water in DMA was removed by adding sodium bis(methoxy-2-ethoxy)aluminohydride NaAIH2(O-CH2-CH2- OCH3)2. The dehydrated DMA gave a pH range of ca. 45 units, as obtained by voltammetry at a hydrogen electrode. pKa of the acid was obtained by using the standard potential of the hydrogen electrode. ",*6,,"M. Breant and J. Georges, C.R. Acad. Sci., Paris, C280, 457 (1975). ",75B,,
Phenol Red,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,"InChI=1S/C19H14O5S/c20-15-9-5-13(6-10-15)19(14-7-11-16(21)12-8-14)17-3-1-2-4-18(17)25(22,23)24-19/h1-12,20-21H",DMA,indicator,pK1,pK1,13.45,13.45,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Propionic acid,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",DMA,acidic,pK1,pKa1,12.05,12.05,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Propionic acid,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",DMA,acidic,pK1,pKa1,11.2,11.2,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Salicylic acid,O=C(O)c1ccccc1O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",DMA,acidic,pK1,pKa1,6.9,6.9,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
